Global humasn population estimates,
Source: https://ourworldindata.org/grapher/population,
"downloaded: 2023-01-30, 08:48 GMT -5",
Year,est.N
-10000,4432266
-9000,5616996
-8000,7242892
-7000,9577918
-6000,13201832
-5000,19075771
-4000,28774661
-3000,44487162
-2000,72586076
-1000,110419521
0,232123764
100,236904172
200,240611571
300,227549847
400,241539639
500,253237316
600,271478693
700,278185334
800,285713840
900,310967715
1000,323407571
1100,397923813
1200,444750779
1300,456389076
1400,442480757
1500,503240579
1600,515751843
1700,591721866
1710,613189754
1720,642718425
1730,664734940
1740,695347041
1750,745664504
1760,779892249
1770,818828314
1780,891049119
1790,931578147
1800,984741159
1801,987628322
1802,991098738
1803,994610260
1804,998163240
1805,1001758044
1806,1005395067
1807,1009074742
1808,1012797513
1809,1016563866
1810,1022630209
1811,1027487469
1812,1033631136
1813,1040443689
1814,1047427292
1815,1054586106
1816,1061924513
1817,1069447070
1818,1077158552
1819,1084757875
1820,1092947430
1821,1099331577
1822,1106253783
1823,1113514792
1824,1120876169
1825,1128342960
1826,1135961188
1827,1143684846
1828,1151515422
1829,1158898384
1830,1166619866
1831,1172266726
1832,1178216298
1833,1183674995
1834,1189194865
1835,1194777021
1836,1200422586
1837,1206132721
1838,1211908617
1839,1217612799
1840,1224118700
1841,1228821489
1842,1234333753
1843,1239786237
1844,1245319917
1845,1250936428
1846,1256637463
1847,1262424720
1848,1268300005
1849,1273394934
1850,1278698177
1851,1281044111
1852,1283605123
1853,1285405357
1854,1287317863
1855,1289344086
1856,1291485555
1857,1293743896
1858,1296120810
1859,1298874784
1860,1303155270
1861,1305490771
1862,1309347024
1863,1313556287
1864,1317850567
1865,1322223328
1866,1326674072
1867,1331210602
1868,1335831902
1869,1341040002
1870,1348154278
1871,1353185947
1872,1360191149
1873,1367778454
1874,1375441175
1875,1383207445
1876,1391057502
1877,1398962396
1878,1406939006
1879,1415456507
1880,1425998659
1881,1434253944
1882,1444559322
1883,1455464560
1884,1466507494
1885,1477744363
1886,1489095893
1887,1500609770
1888,1512259811
1889,1523683199
1890,1536461994
1891,1545852788
1892,1556562451
1893,1567026235
1894,1577633469
1895,1588397643
1896,1599255683
1897,1610265238
1898,1621405678
1899,1633219852
1900,1647405028
1901,1658785643
1902,1672564382
1903,1687012805
1904,1701647404
1905,1716473051
1906,1731494784
1907,1746736854
1908,1762200207
1909,1777067748
1910,1793323600
1911,1804920684
1912,1817990952
1913,1830461187
1914,1843131589
1915,1855949027
1916,1868851504
1917,1881853176
1918,1895037042
1919,1909044309
1920,1926217432
1921,1939587826
1922,1955971631
1923,1973057174
1924,1990416385
1925,2008052088
1926,2025945381
1927,2044097070
1928,2062543972
1929,2081683468
1930,2104067387
1931,2122176586
1932,2143517525
1933,2165540428
1934,2187836793
1935,2210412972
1936,2233367401
1937,2256671866
1938,2280342907
1939,2303096438
1940,2327357744
1941,2344788534
1942,2363887111
1943,2381758939
1944,2399659920
1945,2417413700
1946,2435048602
1947,2454045831
1948,2474648090
1949,2500821769
1950,2499322112
1951,2543130368
1952,2590270976
1953,2640278784
1954,2691979264
1955,2746072064
1956,2801002752
1957,2857866752
1958,2916108032
1959,2970292224
1960,3019233536
1961,3068370688
1962,3126686720
1963,3195779328
1964,3267212288
1965,3337112064
1966,3406416896
1967,3475448064
1968,3546810880
1969,3620655360
1970,3695390208
1971,3770163200
1972,3844800768
1973,3920251392
1974,3995516928
1975,4069437184
1976,4142505728
1977,4215772416
1978,4289657600
1979,4365582848
1980,4444007936
1981,4524627456
1982,4607984640
1983,4691884032
1984,4775836160
1985,4861730816
1986,4950063104
1987,5040984576
1988,5132294144
1989,5223704064
1990,5316175872
1991,5406245888
1992,5492686336
1993,5577433600
1994,5660727808
1995,5743219712
1996,5825145344
1997,5906481152
1998,5987312640
1999,6067758592
2000,6148898816
2001,6230747136
2002,6312407552
2003,6393898496
2004,6475751424
2005,6558176256
2006,6641416192
2007,6725948416
2008,6811597312
2009,6898306048
2010,6985603072
2011,7073125376
2012,7161697792
2013,7250593280
2014,7339013632
2015,7426597376
2016,7513474048
2017,7599822336
2018,7683789824
2019,7764951040
2020,7840952832
2021,7909295104
