From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
1,unwatered,50,Davillakunthii,liana,-0.403,-2.213,-1.81,NA,NA,NA,NA,18.1866,6_March_15,dry
1,unwatered,100,Davillakunthii,liana,-0.528,-2.34,-1.812,NA,NA,NA,NA,17.4502,4_March_15,dry
1,unwatered,1,Doliocarpusmajor,liana,-2.59,-3.007,-0.417,NA,NA,NA,NA,17.871,2_March_15,dry
1,unwatered,7,Doliocarpusmajor,liana,-2.687,-4.452,-1.765,NA,NA,NA,NA,18.3444,13_March_15,dry
1,unwatered,22,Machaeriummilleflorum,liana,-0.182,-1.917,-1.735,NA,NA,NA,NA,16.8716,6_March_15,dry
1,unwatered,60,Machaeriummilleflorum,liana,-0.702,-2.384,-1.682,NA,NA,NA,NA,19.9224,7_March_15,dry
1,unwatered,25,Maripapanamensis,liana,-0.755,-1.595,-0.84,NA,NA,NA,NA,15.6618,9_March_15,dry
1,unwatered,82,Maripapanamensis,liana,-0.461,-1.8,-1.339,NA,NA,NA,NA,20.764,11_March_15,dry
1,unwatered,4,Paulliniapinnata,liana,-0.286,-2.363,-2.077,NA,NA,NA,NA,19.2912,2_March_15,dry
1,unwatered,95,Paulliniapinnata,liana,-0.401,-1.601,-1.2,NA,NA,NA,NA,23.2888,4_March_15,dry
