From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,
These data are summaries of data available online with the article:,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,
Photo.umolCO2 is CO2 flux into a leaf; it is a  measure of photosynthetic rate,,,,,,,,,,
,,,,,,,,,,
Plot,Tag,Season,Month,Treatment,Habit,Species,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2
1,50,dry,Apr,unwatered,liana,Davillakunthii,-1.364,-2.001,-0.637,NA
1,100,dry,Apr,unwatered,liana,Davillakunthii,-1.521,-3.284,-1.763,NA
1,1,dry,Apr,unwatered,liana,Doliocarpusmajor,-1.693,-4.862,-3.169,NA
1,7,dry,Apr,unwatered,liana,Doliocarpusmajor,-1.661,-4.942,-3.281,NA
1,60,dry,Apr,unwatered,liana,Machaeriummilleflorum,-0.605,-1.677,-1.072,NA
1,22,dry,Apr,unwatered,liana,Machaeriummilleflorum,-0.792,-2.045,-1.253,NA
1,25,dry,Apr,unwatered,liana,Maripapanamensis,-0.849,-1.391,-0.542,NA
1,82,dry,Apr,unwatered,liana,Maripapanamensis,-0.769,-1.869,-1.1,NA
1,4,dry,Apr,unwatered,liana,Paulliniapinnata,-0.72,-2.264,-1.544,NA
1,95,dry,Apr,unwatered,liana,Paulliniapinnata,-0.994,-1.741,-0.747,NA
1,75,dry,Apr,unwatered,tree,Dipteryxoleifera,-1.001,-3.638,-2.637,NA
1,92,dry,Apr,unwatered,tree,Dipteryxoleifera,-0.595,-2.342,-1.747,NA
1,18,dry,Apr,unwatered,tree,Swieteniamacrophylla,-3.55,-3.562,-0.012,NA
1,6,dry,Apr,unwatered,tree,Terminaliaamazonia,-0.681,-2.267,-1.586,NA
1,61,dry,Apr,unwatered,tree,Terminaliaamazonia,-1.005,-1.975,-0.97,NA
1,50,dry,Mar,unwatered,liana,Davillakunthii,-0.403,-2.213,-1.81,NA
1,100,dry,Mar,unwatered,liana,Davillakunthii,-0.528,-2.34,-1.812,NA
1,1,dry,Mar,unwatered,liana,Doliocarpusmajor,-2.59,-3.007,-0.417,NA
1,7,dry,Mar,unwatered,liana,Doliocarpusmajor,-2.687,-4.452,-1.765,NA
1,22,dry,Mar,unwatered,liana,Machaeriummilleflorum,-0.182,-1.917,-1.735,NA
1,60,dry,Mar,unwatered,liana,Machaeriummilleflorum,-0.702,-2.384,-1.682,NA
1,25,dry,Mar,unwatered,liana,Maripapanamensis,-0.755,-1.595,-0.84,NA
1,82,dry,Mar,unwatered,liana,Maripapanamensis,-0.461,-1.8,-1.339,NA
1,4,dry,Mar,unwatered,liana,Paulliniapinnata,-0.286,-2.363,-2.077,NA
1,95,dry,Mar,unwatered,liana,Paulliniapinnata,-0.401,-1.601,-1.2,NA
1,75,dry,Mar,unwatered,tree,Dipteryxoleifera,-2.345,-3.283,-0.938,NA
1,92,dry,Mar,unwatered,tree,Dipteryxoleifera,-3.2,-4.207,-1.007,NA
1,18,dry,Mar,unwatered,tree,Swieteniamacrophylla,-1.942,-2.839,-0.897,NA
1,6,dry,Mar,unwatered,tree,Terminaliaamazonia,-0.702,-1.827,-1.125,NA
1,61,dry,Mar,unwatered,tree,Terminaliaamazonia,-0.966,-1.369,-0.403,NA
1,50,transition,May,unwatered,liana,Davillakunthii,-0.341,-0.984,-0.643,NA
