Observations from summer 2021. Fehling, L. S. (2022). Reward Complementarity and Context Dependency in Multispecies Mutualist Interactions in Partridge Pea (Chamaecrista fasciculata) [Miami University]. http://rave.ohiolink.edu/etdc/view?acc_num=miami1653493649405494 
Total refers to the total number of herbivores on each plant summed across weekly 2 minute observations.
AMF,Rhizobia,Ants,Drought,Total
no_AMF,no_Rhiz,no_Ants,Normal,1
no_AMF,no_Rhiz,no_Ants,Normal,1
no_AMF,no_Rhiz,no_Ants,Normal,0
no_AMF,no_Rhiz,no_Ants,Normal,1
no_AMF,no_Rhiz,no_Ants,Normal,1
no_AMF,no_Rhiz,no_Ants,Normal,0
no_AMF,no_Rhiz,no_Ants,Normal,3
no_AMF,no_Rhiz,no_Ants,Normal,1
no_AMF,no_Rhiz,no_Ants,Normal,2
no_AMF,no_Rhiz,no_Ants,Normal,2
no_AMF,no_Rhiz,no_Ants,Normal,0
no_AMF,no_Rhiz,no_Ants,Normal,0
no_AMF,no_Rhiz,no_Ants,Normal,0
no_AMF,no_Rhiz,no_Ants,Normal,0
no_AMF,no_Rhiz,Ants,Normal,1
no_AMF,no_Rhiz,Ants,Normal,5
no_AMF,no_Rhiz,Ants,Normal,0
no_AMF,no_Rhiz,Ants,Normal,2
no_AMF,no_Rhiz,Ants,Normal,3
no_AMF,no_Rhiz,Ants,Normal,1
no_AMF,no_Rhiz,Ants,Normal,0
no_AMF,no_Rhiz,Ants,Normal,2
no_AMF,no_Rhiz,Ants,Normal,1
no_AMF,no_Rhiz,Ants,Normal,2
no_AMF,no_Rhiz,Ants,Normal,0
no_AMF,no_Rhiz,Ants,Normal,3
no_AMF,Rhiz,Ants,Normal,2
no_AMF,Rhiz,Ants,Normal,0
no_AMF,Rhiz,Ants,Normal,0
no_AMF,Rhiz,Ants,Normal,3
no_AMF,Rhiz,Ants,Normal,0
no_AMF,Rhiz,Ants,Normal,1
no_AMF,Rhiz,Ants,Normal,0
no_AMF,Rhiz,Ants,Normal,1
no_AMF,Rhiz,Ants,Normal,0
no_AMF,Rhiz,Ants,Normal,1
no_AMF,Rhiz,Ants,Normal,9
no_AMF,Rhiz,Ants,Normal,5
no_AMF,Rhiz,Ants,Normal,0
AMF,no_Rhiz,Ants,Normal,2
AMF,no_Rhiz,Ants,Normal,0
AMF,no_Rhiz,Ants,Normal,0
AMF,no_Rhiz,Ants,Normal,0
AMF,no_Rhiz,Ants,Normal,2
AMF,no_Rhiz,Ants,Normal,3
AMF,no_Rhiz,Ants,Normal,1
AMF,no_Rhiz,Ants,Normal,1
AMF,no_Rhiz,Ants,Normal,0
AMF,no_Rhiz,Ants,Normal,1
AMF,no_Rhiz,Ants,Normal,0
AMF,no_Rhiz,Ants,Normal,1
AMF,no_Rhiz,Ants,Normal,5
AMF,no_Rhiz,Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,1
AMF,Rhiz,no_Ants,Normal,4
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,5
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,2
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,1
AMF,Rhiz,no_Ants,Normal,3
AMF,Rhiz,no_Ants,Normal,0
AMF,Rhiz,no_Ants,Normal,1
AMF,Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,2
AMF,no_Rhiz,no_Ants,Normal,2
AMF,no_Rhiz,no_Ants,Normal,3
AMF,no_Rhiz,no_Ants,Normal,2
AMF,no_Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,3
AMF,no_Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,0
AMF,no_Rhiz,no_Ants,Normal,1
AMF,no_Rhiz,no_Ants,Normal,2
AMF,no_Rhiz,no_Ants,Normal,1
AMF,no_Rhiz,no_Ants,Normal,1
no_AMF,Rhiz,no_Ants,Normal,0
no_AMF,Rhiz,no_Ants,Normal,0
no_AMF,Rhiz,no_Ants,Normal,0
no_AMF,Rhiz,no_Ants,Normal,0
no_AMF,Rhiz,no_Ants,Normal,1
