"Data on moose and wolf populations from Isle Royale, 1959-2011. ",,
See Vucetich and Peterson (2009) for more information,,
Year,Species,N
1959,Moose,560
1960,Moose,600
1961,Moose,625
1962,Moose,640
1963,Moose,660
1964,Moose,700
1965,Moose,720
1966,Moose,760
1967,Moose,900
1968,Moose,1050
1969,Moose,1260
1970,Moose,1275
1971,Moose,1440
1972,Moose,1490
1973,Moose,1430
1974,Moose,1475
1975,Moose,1340
1976,Moose,1280
1977,Moose,1140
1978,Moose,1000
1979,Moose,1030
1980,Moose,900
1981,Moose,850
1982,Moose,860
1983,Moose,930
1984,Moose,1040
1985,Moose,1100
1986,Moose,1190
1987,Moose,1260
1988,Moose,1325
1989,Moose,1390
1990,Moose,1220
1991,Moose,1300
1992,Moose,1600
1993,Moose,1880
1994,Moose,1775
1995,Moose,2425
1996,Moose,1150
1997,Moose,500
1998,Moose,690
1999,Moose,730
2000,Moose,840
2001,Moose,880
2002,Moose,1100
2003,Moose,880
2004,Moose,730
2005,Moose,530
2006,Moose,450
2007,Moose,370
2008,Moose,635
2009,Moose,520
2010,Moose,510
2011,Moose,520
1959,Wolf,20
1960,Wolf,22
1961,Wolf,22
1962,Wolf,23
1963,Wolf,20
1964,Wolf,26
1965,Wolf,28
1966,Wolf,26
1967,Wolf,22
1968,Wolf,22
1969,Wolf,17
1970,Wolf,18
1971,Wolf,20
1972,Wolf,23
1973,Wolf,24
1974,Wolf,31
1975,Wolf,41
1976,Wolf,44
1977,Wolf,34
1978,Wolf,40
1979,Wolf,43
1980,Wolf,50
1981,Wolf,30
1982,Wolf,14
1983,Wolf,23
1984,Wolf,24
1985,Wolf,22
1986,Wolf,20
1987,Wolf,16
1988,Wolf,12
1989,Wolf,12
1990,Wolf,15
1991,Wolf,12
1992,Wolf,12
1993,Wolf,13
1994,Wolf,17
1995,Wolf,16
1996,Wolf,22
1997,Wolf,24
1998,Wolf,14
1999,Wolf,25
2000,Wolf,29
2001,Wolf,19
2002,Wolf,17
2003,Wolf,19
2004,Wolf,29
2005,Wolf,30
2006,Wolf,30
2007,Wolf,21
2008,Wolf,23
2009,Wolf,24
2010,Wolf,19
2011,Wolf,16
